id,id2,Food Name,Category,Spiciness,Rice/Noodle/Bread,Hot/Cold,Soup
162,162,두부,한식,FALSE,밥,h,FALSE
163,163,냉이된장국,한식,FALSE,밥,h,TRUE
164,164,치즈돈까스정식,한식,FALSE,밥,h,FALSE
165,165,쟁반짜장,중식,FALSE,면,h,FALSE
166,166,연어알 주먹밥,일식,FALSE,밥,h,FALSE
167,167,삼계탕,한식,FALSE,밥,h,TRUE
168,168,카레우동,일식,FALSE,면,h,TRUE
169,169,관자,한식,FALSE,밥,h,FALSE
170,170,호로요이,음료(술),FALSE,FALSE,c,FALSE
171,171,이삭토스트,한식,FALSE,밥,h,FALSE
172,172,국물닭발,한식(안주),TRUE,밥,h,TRUE
173,173,해물순두부,한식,TRUE,밥,h,TRUE
174,174,오설록,음료,FALSE,FALSE,c ,FALSE
175,175,군밤,간식,FALSE,FALSE,h,FALSE
176,176,붕어빵,간식,FALSE,빵,h,FALSE
177,177,규동,일식,FALSE,밥,h,FALSE
178,178,편육,한식(안주),FALSE,밥,c,FALSE
179,179,쌀국수,베트남식,FALSE,면,h,TRUE
